g,n,iso,fam,ma,lat,lon
aari1239,Aari,aiw,South Omotic,Africa,5.95034,36.5721
aari1240,Aariya,aay,Bookkeeping,Eurasia,,
aasa1238,Aasax,aas,Afro-Asiatic,Africa,-4.00679,36.8648
abad1241,Abadi,kbt,Austronesian,Papunesia,-9.03389,146.992
abag1245,Abaga,abg,Nuclear Trans New Guinea,Papunesia,-6.12028,145.665
abai1240,Abai Sungai,abf,Austronesian,Papunesia,5.55394,118.306
abai1241,Abai Tubu-Abai Sembuak,,Austronesian,Papunesia,3.524226,116.162455
aban1242,Abanyom,abm,Atlantic-Congo,Africa,6.30619,8.63055
abar1238,Mungbam,mij,Atlantic-Congo,Africa,6.5805,10.2267
abau1245,Abau,aau,Sepik,Papunesia,-3.97222,141.324
abaz1241,Abaza,abq,Abkhaz-Adyge,Eurasia,44.25,42.0
abee1242,Abé,aba,Atlantic-Congo,Africa,5.59682,-4.38497
aben1249,Abenlen Ayta,abp,Austronesian,Papunesia,15.4131,120.2
abid1235,Abidji,abi,Atlantic-Congo,Africa,5.65656,-4.58421
abin1243,Abinomn,bsa,,Papunesia,-2.92281,138.891
abip1241,Abipon,axb,Guaicuruan,South America,-29.0,-61.0
abis1238,Aewa,ash,,South America,-1.284096,-75.084405
abkh1244,Abkhaz,abk,Abkhaz-Adyge,Eurasia,43.056218,41.159115
abom1238,Abom,aob,Anim,Papunesia,-8.42448,142.842
abon1238,Abon,abo,Atlantic-Congo,Africa,6.90621,10.8769
abro1238,Abron,abr,Atlantic-Congo,Africa,7.72094,-2.50289
abua1244,Abua,abn,Atlantic-Congo,Africa,4.83057,6.61492
abua1245,Abu' Arapesh,aah,Nuclear Torricelli,Papunesia,-3.461612,142.917031
abui1241,Abui,abz,Timor-Alor-Pantar,Papunesia,-8.31058,124.588
abun1252,Abun,kgr,,Papunesia,-0.57073,132.416
abur1243,Abure,abu,Atlantic-Congo,Africa,5.21534,-3.64123
abur1244,Abureni,mgj,Atlantic-Congo,Africa,4.62301,6.50634
abuu1241,Abu,ado,Ramu,Papunesia,-4.24027,144.474
acat1239,Acatepec Me'phaa,tpx,Otomanguean,North America,17.1034,-99.0602
acha1249,Longchuan Achang,acn,Sino-Tibetan,Eurasia,24.3479,97.7438
acha1250,Achagua,aca,Arawakan,South America,4.38649,-72.2005
ache1244,Ache,yif,Sino-Tibetan,Eurasia,24.152,102.446
ache1245,Acheron,acz,Narrow Talodi,Africa,10.8827,30.3187
ache1246,Aché,guq,Tupian,South America,-25.5865,-56.4697
achi1256,Achi,acr,Mayan,North America,15.073,-90.3513
achi1257,Acehnese,ace,Austronesian,Papunesia,3.90757,96.6032
achi1258,"Achi', Cubulco",acc,Bookkeeping,North America,,
achu1247,Achumawi,acv,Palaihnihan,North America,41.0979,-121.191
achu1248,Achuar-Shiwiar,acu,Chicham,South America,-2.82646,-77.2641
acol1236,Acoli,ach,Nilotic,Africa,3.57738,32.5147
acro1239,Acroá,acs,Nuclear-Macro-Je,South America,-12.20318,-45.08975
adab1235,Adabe,adb,Bookkeeping,Papunesia,-8.22674,125.576
adai1235,Adai,xad,,North America,31.6314,-92.0059
adam1238,Adamorobe Sign Language,ads,Sign Language,Africa,5.834,-0.151
adam1253,Adamawa Fulfulde,fub,Atlantic-Congo,Africa,8.140326,13.077338
adan1247,Adangme,ada,Atlantic-Congo,Africa,5.9437,0.13243
adan1248,Adangbe,adq,Atlantic-Congo,Africa,6.50546,0.727155
adan1251,Adang,adn,Timor-Alor-Pantar,Papunesia,-8.18958,124.448
adap1234,Adap,adp,Bookkeeping,Eurasia,27.141,90.3369
adas1235,Adasen,tiu,Austronesian,Papunesia,17.8187,120.905
adel1244,Adele,ade,Atlantic-Congo,Africa,8.16975,0.619185
adha1238,Adhari,,Indo-European,Eurasia,40.05,48.06
adho1243,Adhola,adh,Nilotic,Africa,0.73235,34.0341
adio1239,Adioukrou,adj,Atlantic-Congo,Africa,5.38228,-4.52522
adiv1239,Kotia-Adivasi Oriya-Desiya,ort,Indo-European,Eurasia,18.1046,82.8487
adiw1235,Adiwasi Garasia,gas,Indo-European,Eurasia,24.0712,73.1426
adny1235,Adnyamathanha,adt,Pama-Nyungan,Australia,-30.1451,138.671
adon1237,Adonara,adr,Austronesian,Papunesia,-8.32027,123.159
adug1238,Aduge,adu,Bookkeeping,Africa,7.64567,6.13085
adur1234,Adurgari,,Speech Register,Eurasia,33.79,69.32
adyg1241,West Circassian,ady,Abkhaz-Adyge,Eurasia,44.0,39.33
adze1240,Adzera,adz,Austronesian,Papunesia,-6.39394,146.294
adze1241,Adzera (Retired),azr,Bookkeeping,,,
aeka1244,Aeka,aez,Nuclear Trans New Guinea,Papunesia,-8.855095,147.99477
aeky1238,Aekyom,awi,Kamula-Elevala,Papunesia,-5.88478,141.532
aerr1238,Aer,aeq,Indo-European,Eurasia,25.254,69.029
afad1236,Afade,aal,Afro-Asiatic,Africa,12.0551,14.6343
afar1241,Afar,aar,Afro-Asiatic,Africa,12.2281,41.8083
afgh1239,Afghan Sign Language,afg,Sign Language,Eurasia,34.434167,70.447778
afgh1240,Afghanistan Gorbat,,Speech Register,Eurasia,,
afit1238,Afitti,aft,Nyimang,Africa,12.446,30.7611
afri1274,Afrikaans,afr,Indo-European,Africa,-31.63272,20.46356
afri1275,Afrihili,afh,Artificial Language,Africa,,
afro1254,Afro-Seminole Creole,afs,Indo-European,North America,31.7843,-99.2934
afud1235,Afudu,,Atlantic-Congo,Africa,7.17893,10.22439
agar1251,Agariya,agi,Unattested,Eurasia,24.5024,82.297
agar1252,Agarabi,agd,Nuclear Trans New Guinea,Papunesia,-6.20604,145.917
agat1236,Agatu,agc,Atlantic-Congo,Africa,7.97915,7.71639
agav1236,Agavotaguerra,avo,Unattested,South America,-13.29849,-53.43936
agbi1234,Agbirigba,,Speech Register,Africa,,
aghe1239,Aghem,agq,Atlantic-Congo,Africa,6.38956,10.0807
aghu1253,Aghul,agx,Nakh-Daghestanian,Eurasia,41.9242,47.5843
aghu1254,Aghu Tharnggalu,ggr,Pama-Nyungan,Australia,-13.735,142.426
aghu1255,Aghu,ahh,Nuclear Trans New Guinea,Papunesia,-6.34674,140.043
aghu1256,Aghu Tharnggalu (Retired),gtu,Bookkeeping,Australia,-15.0,144.0
aghw1237,Aghwan,xag,Nakh-Daghestanian,Eurasia,40.374444,47.126667
agii1245,Agi,aif,Nuclear Torricelli,Papunesia,-3.49104,142.387
agob1244,Agob-Ende-Kawam,kit,Pahoturi,Papunesia,-9.08521,142.532
agoi1246,Robambami,ibm,Atlantic-Congo,Africa,5.87953,8.21629
agta1234,Agta-Pahanan,apf,Austronesian,Papunesia,17.0538,122.2802
agua1251,Aguano,aga,Unattested,South America,-5.25,-75.8333
agua1252,Aguacateco,agu,Mayan,North America,15.3307,-91.3153
agua1253,Aguaruna,agr,Chicham,South America,-5.30044,-77.9218
agun1238,Aguna,aug,Atlantic-Congo,Africa,7.49256,1.74452
agus1235,Agusan Manobo,msm,Austronesian,Papunesia,8.62731,125.742
agut1237,Agutaynen,agn,Austronesian,Papunesia,10.5328,119.655
agwa1247,Agwagwune,yay,Atlantic-Congo,Africa,5.81055,8.03166
ahan1243,Ahanta,aha,Atlantic-Congo,Africa,4.85147,-1.94657
ahan1244,Àhàn,ahn,Atlantic-Congo,Africa,7.44139,6.00896
ahea1240,Ahe,ahe,Bookkeeping,,,
aher1237,Aheri Gondi,esg,Dravidian,Eurasia,19.4163,80.0058
aheu1239,Thavung,thm,Austroasiatic,Eurasia,17.7655,104.229
ahin1234,Ahin-Kayapa Kalanguya,kak,Austronesian,Papunesia,16.321,120.90003
ahir1243,Ahirani,ahr,Bookkeeping,Eurasia,21.552,73.685
ahom1240,Ahom,aho,Tai-Kadai,Eurasia,27.04023,94.32671
ahte1237,Ahtena,aht,Athabaskan-Eyak-Tlingit,North America,61.7068,-144.889
ahwa1235,Ndunic,nfd,Atlantic-Congo,Africa,9.17635,8.56205
aich1238,Ai-Cham,aih,Tai-Kadai,Eurasia,25.4908,107.844
aigh1235,Aighon,aix,Austronesian,Papunesia,-5.99488,150.272
aika1237,Aikanã,tba,,South America,-12.6695,-60.5353
aikl1237,Aiklep,mwg,Austronesian,Papunesia,-6.23575,149.571
aiku1240,Aiku,mzf,Bookkeeping,,,
aima1241,Aimaq,aiq,Indo-European,Eurasia,35.283,59.1756
aime1238,Aimele,ail,Bosavi,Papunesia,-6.68656,142.656
aimo1244,Aimol,aim,Sino-Tibetan,Eurasia,24.6437,94.3556
ainb1238,Ainbai,aic,Border,Papunesia,-3.09214,141.149
ainu1240,Hokkaido Ainu,ain,Ainu,Eurasia,43.633654,142.46167
ainu1251,Ainu (China),aib,Turkic,Eurasia,39.2714,76.4209
aiom1240,Aiome,aki,Ramu,Papunesia,-5.13467,144.765
airo1242,Airoran,air,Greater Kwerba,Papunesia,-1.8522,138.158
aito1238,Aiton,aio,Tai-Kadai,Eurasia,26.5145,92.3169
ajab1235,Aja (Benin),ajg,Atlantic-Congo,Africa,7.06634,1.64992
ajas1235,Aja (South Sudan),aja,Kresh-Aja,Africa,8.58003,25.6122
ajaw1236,Ajawa,ajw,Afro-Asiatic,Africa,10.21,9.89205
ajie1238,Ajië,aji,Austronesian,Papunesia,-21.3029,165.468
ajyi1238,Ajyíninka Apurucayali,cpc,Arawakan,South America,-9.82364,-74.61947
akaa1242,Aka,soh,Eastern Jebel,Africa,11.2101,33.6524
akab1248,Akabo,akm,Great Andamanese,Eurasia,12.3629,92.8011
akab1249,Akabea,abj,Great Andamanese,Eurasia,12.3782,92.7818
akac1240,Akacari,aci,Great Andamanese,Eurasia,13.49086,92.94855
akaj1239,Akajeru,akj,Great Andamanese,Eurasia,13.1525,92.9504
akak1251,Akakora,ack,Great Andamanese,Eurasia,12.0944,92.7466
akak1252,Akakede,akx,Great Andamanese,Eurasia,12.8494,92.8227
akak1253,Akakol,aky,Great Andamanese,Eurasia,12.73253,92.78661
akan1250,Akan,aka,Atlantic-Congo,Africa,6.34756,-1.33254
akar1243,Akarbale,acl,Great Andamanese,Eurasia,12.6663,92.8278
akas1242,Akaselem,aks,Atlantic-Congo,Africa,8.8858,1.37035
akaw1239,Akawaio-Ingariko,ake,Cariban,South America,6.16277,-60.862
akeb1238,Akebu,keu,Atlantic-Congo,Africa,7.78365,0.77668
akee1238,Akye,aik,Atlantic-Congo,Africa,8.59543,8.75768
akei1237,Akei,tsr,Austronesian,Papunesia,-15.6377,166.767
akeu1235,Akeu,aeu,Sino-Tibetan,Eurasia,22.1959,101.0823
akha1245,Akha,ahk,Sino-Tibetan,Eurasia,21.2309,100.964
akhv1239,Northern Akhvakh,akv,Nakh-Daghestanian,Eurasia,42.4003,46.3037
akka1237,Akkala Saami,sia,Uralic,Eurasia,67.8625,32.4046
akka1240,Akkadian,akk,Afro-Asiatic,Eurasia,33.1,44.1
akkk1240,Ak,akq,Sepik,Papunesia,-3.57026,141.784
akla1240,Aklanon,akl,Austronesian,Papunesia,11.55432,122.35413
akol1237,Akolet,akt,Austronesian,Papunesia,-6.22711,150.182
akoo1248,Akoose,bss,Atlantic-Congo,Africa,4.9243,9.65522
akoy1238,Akoye,miw,Angan,Papunesia,-7.66067,145.669
akpa1238,Akpa,akf,Atlantic-Congo,Africa,7.32586,8.01629
akpe1248,Akpes,ibe,Atlantic-Congo,Africa,7.50256,5.95559
akpo1243,Akpondu,,Atlantic-Congo,Africa,9.235232,8.545454
akru1241,Chini,afi,Ramu,Papunesia,-4.88687,144.821
akuk1235,Akuku,ayk,Atlantic-Congo,Africa,7.40354,6.34264
akum1238,Akum,aku,Atlantic-Congo,Africa,6.85716,9.96261
akun1241,Akuntsu,aqz,Tupian,South America,-12.8322,-60.9716
akur1238,Akurio,ako,Cariban,South America,3.19607,-55.6294
akwa1248,Akwa,akw,Atlantic-Congo,Africa,-0.39897,15.4623
akya1234,Akyaung Ari Naga,nqy,Bookkeeping,Eurasia,,
alab1237,Alabama,akz,Muskogean,North America,30.76738,-94.62848
alab1246,Alabat Island Agta,dul,Austronesian,Papunesia,14.1217,122.014
alab1254,Alaba-K'abeena,alw,Afro-Asiatic,Africa,7.39014,38.1732
alac1239,Alacalufe-Austral,,Kawesqar,South America,-54.788017,-70.140381
alac1240,Alacalufe-Central,,Kawesqar,South America,-53.435719,-71.04126
alac1244,Alacatlatzala Mixtec,mim,Otomanguean,North America,17.25,-98.58
alag1242,Alago,ala,Atlantic-Congo,Africa,8.34986,8.52085
alag1248,Alagwa,wbj,Afro-Asiatic,Africa,-4.64148,35.7231
alag1249,Alaguilac,,Bookkeeping,North America,,
alak1253,Alak,alk,Austroasiatic,Eurasia,15.5565,106.597
alam1246,Alamblak,amp,Sepik,Papunesia,-4.66307,143.316
alan1249,Alangan,alj,Austronesian,Papunesia,13.0982,121.022
alap1235,Alapmunte,apv,Unattested,South America,-12.329886,-59.996702
alaw1244,Alawa,alh,Mangarrayi-Maran,Australia,-15.5458,134.282
alba1269,Inland-Buhi-Daraga Bikol,bhk,Austronesian,Papunesia,13.1989,123.49
alba1271,Albanian Sign Language,sqk,Sign Language,Eurasia,41.328889,19.817778
alba1273,Albarradas Sign Language,lsc,Sign Language,North America,17.06144,-96.29642
alco1235,Alcozauca Mixtec,xta,Otomanguean,North America,17.3687,-98.3969
aleg1238,Alege,alf,Atlantic-Congo,Africa,6.59423,9.00394
alek1238,Alekano,gah,Nuclear Trans New Guinea,Papunesia,-6.03901,145.387
aleu1260,Aleut,ale,Eskimo-Aleut,North America,52.1228,-174.29
alge1235,Algerian Sign Language,asp,Sign Language,Africa,36.4762,3.5462
alge1239,Algerian Arabic,arq,Afro-Asiatic,Africa,35.4208,3.23033
alge1240,Algerian Saharan Arabic,aao,Afro-Asiatic,Africa,20.8884,4.80626
algo1255,Algonquin,alq,Algic,North America,47.3876,-77.5258
alii1240,Ali,aiy,Atlantic-Congo,Africa,4.60014,18.0352
alip1234,Alipur Sign Language,,Sign Language,Eurasia,16.843564,77.107525
alla1247,Allar,all,Dravidian,Eurasia,11.0803,76.6593
alla1248,Alladian,ald,Atlantic-Congo,Africa,5.22371,-4.42647
alle1238,Allentiac,,Huarpean,South America,-33.480938,-68.096924
alng1239,Alngith,aid,Pama-Nyungan,Australia,-12.5324,141.938
aloa1235,Aloápam Zapotec,zaq,Otomanguean,North America,17.4137,-96.7438
alop1235,Alo Phola,ypo,Sino-Tibetan,Eurasia,23.59,101.933
alor1247,Alorese,aol,Austronesian,Papunesia,-8.20382,124.264
alsa1242,Al-Sayyid Bedouin Sign Language,syy,Sign Language,Eurasia,31.284444,34.916111
alse1251,Alsea-Yaquina,aes,,North America,44.408,-123.94
alug1235,Alugu,aub,Sino-Tibetan,Eurasia,23.0,103.0
aluk1238,Alu Kurumba,xua,Dravidian,Eurasia,11.3456,76.7995
alum1246,Arum,aab,Atlantic-Congo,Africa,9.01513,8.55956
alun1238,Alune,alp,Austronesian,Papunesia,-3.11477,128.394
aluo1235,Aluo,yna,Sino-Tibetan,Eurasia,26.0,102.0
alur1250,Alur,alz,Nilotic,Africa,2.36213,31.0016
alut1245,Alutor,alr,Chukotko-Kamchatkan,Eurasia,60.3844,165.653
alvi1241,Alviri-Vidari,avd,Indo-European,Eurasia,35.0075,50.3794
alya1239,Alyawarr,aly,Pama-Nyungan,Australia,-21.0427,136.835
amah1245,Amahai,amq,Austronesian,Papunesia,-3.32028,128.939
amah1246,Amahuaca,amc,Pano-Tacanan,South America,-10.2012,-72.3208
amai1246,Amaimon,ali,Nuclear Trans New Guinea,Papunesia,-5.18742,145.368
amal1242,Amal,aad,Sepik,Papunesia,-4.04517,141.995
amam1246,Amam,,Kunimaipan,Papunesia,-7.9,146.92
amam1247,Amami O Shima Sign Language,jks,Sign Language,Eurasia,28.268372,129.358991
aman1265,Amanab,amn,Border,Papunesia,-3.51516,141.178
aman1266,Amanayé,ama,Tupian,South America,-3.79772,-48.6613
amap1240,Ama (Papua New Guinea),amm,Left May,Papunesia,-4.20192,141.658
amap1241,Amapá Creole,amd,Bookkeeping,,,
amar1271,Amurdak,amg,Iwaidjan Proper,Australia,-11.9876,132.878
amar1272,Amara,aie,Austronesian,Papunesia,-5.55778,148.68
amar1273,Amarasi,aaz,Austronesian,Papunesia,-10.21751,123.96373
amar1274,Amarakaeri,amr,Harakmbut,South America,-12.4931,-70.5533
amas1236,Ama (Sudan),nyi,Nyimang,Africa,12.0993,29.4332
amat1238,Amatlán Zapotec,zpo,Otomanguean,North America,16.2707,-96.4003
amba1263,Amba (Uganda),rwm,Atlantic-Congo,Africa,0.81206,30.0014
amba1265,Ambai,amk,Austronesian,Papunesia,-1.88126,136.526
amba1266,Amba (Solomon Islands),utp,Austronesian,Papunesia,-11.2958,166.498
amba1267,Ambala Ayta,abc,Austronesian,Papunesia,14.8156,120.283
amba1269,Ambakich,aew,Keram,Papunesia,-4.23181,144.285
ambe1246,Ambermo,,Unclassifiable,Papunesia,-1.763355,137.903651
ambe1247,Ambele,ael,Atlantic-Congo,Africa,5.94043,9.62028
ambe1248,Ambelau,amv,Austronesian,Papunesia,-3.85919,127.196
ambl1237,Amblong,alm,Austronesian,Papunesia,-15.5169,166.95
ambo1249,Ambo,amb,Atlantic-Congo,Africa,7.07637,10.7798
ambo1250,Ambonese Malay,abs,Austronesian,Papunesia,-3.71342,128.184
ambo1252,Ambo-Pasco Quechua,qva,Quechuan,South America,-10.5138,-76.1135
ambr1239,Ambrak,aag,Nuclear Torricelli,Papunesia,-3.61,142.56
ambu1247,Ambulas,abt,Ndu,Papunesia,-3.7801,143.059
amda1238,Amdang,amj,Furan,Africa,14.7528,20.8912
amdo1237,Amdo Tibetan,adx,Sino-Tibetan,Eurasia,34.5177,100.485
amel1241,Amele,aey,Nuclear Trans New Guinea,Papunesia,-5.29126,145.687
amer1248,American Sign Language,ase,Sign Language,North America,33.8117,-81.6121
amer1255,American Indian Pidgin English,,Pidgin,North America,,
amer1256,Amerax,aex,Bookkeeping,,,
amga1235,Amganad Ifugao,ifa,Austronesian,Papunesia,16.9016,121.042
amha1245,Amharic,amh,Afro-Asiatic,Africa,11.708182,39.543456
amii1238,Ami,amy,Western Daly,Australia,-13.5573,130.04
amik1238,Amikoana,akn,Bookkeeping,,,
amir1234,Amira,,Tegem,Africa,10.0546,30.71992
amis1246,Amis,ami,Austronesian,Papunesia,23.0917,121.348
amol1235,Mol,alx,Nuclear Torricelli,Papunesia,-3.46843,142.532
amol1236,Amoltepec Mixtec,mbz,Otomanguean,North America,16.6521,-97.4518
amoo1242,Amo,amo,Atlantic-Congo,Africa,10.3229,8.65405
amor1239,Amorite,,Afro-Asiatic,Eurasia,34.71,40.72
amot1239,Amotomanco,,Unclassifiable,North America,,
ampa1238,Ampari Dogon,aqd,Dogon,Africa,14.15,-3.55
ampa1239,Ampanang,apg,Austronesian,Papunesia,-0.79259,116.349
amri1238,Amri Karbi,ajz,Sino-Tibetan,Eurasia,26.024,91.482
amto1250,Amto,amt,Amto-Musan,Papunesia,-4.12165,141.339
amun1246,Amundava,adw,Tupian,South America,-9.04023,-62.3064
anaa1238,Anaang,anw,Atlantic-Congo,Africa,4.94832,7.57969
anak1240,Anakalang,akg,Austronesian,Papunesia,-9.63425,119.605
anal1239,Anal,anm,Sino-Tibetan,Eurasia,24.0506,94.2806
anam1247,Anam,pda,Nuclear Trans New Guinea,Papunesia,-4.68869,145.051
anam1248,Anamuxra,imi,Nuclear Trans New Guinea,Papunesia,-4.63762,144.991
anam1249,Anambé,aan,Tupian,South America,-2.71119,-49.303
anas1239,Anasi,bpo,Bookkeeping,Papunesia,-1.73908,137.716
anat1248,Ana Tinga Dogon,dti,Dogon,Africa,14.6669,-3.1168
anau1243,Anauyá,,Arawakan,South America,1.480584,-65.413237
anca1236,Áncá,acb,Bookkeeping,Africa,6.66524,11.1087
anci1242,Ionic-Attic Ancient Greek,grc,Indo-European,Eurasia,39.8155,21.9129
anci1244,Ancient Hebrew,hbo,Afro-Asiatic,Eurasia,31.7761,35.1725
anci1245,Ancient North Arabian,xna,Afro-Asiatic,Eurasia,29.044,39.776
anci1248,Ancient Ligurian,xlg,Unclassifiable,Eurasia,,
anci1249,Ancient North Greek,,Indo-European,Eurasia,40.825,22.144
anda1280,Andaman Creole Hindi,hca,Indo-European,Eurasia,11.676,92.738
anda1283,Andai,afd,Arafundi,Papunesia,-4.96449,143.637
anda1284,Andarum,aod,Ramu,Papunesia,-4.48734,144.767
anda1286,Andaqui,ana,,South America,2.74999,-76.0
anda1287,Andalusian Arabic,xaa,Afro-Asiatic,Eurasia,36.54,-5.2
ande1247,Andegerebinha,adg,Pama-Nyungan,Australia,-22.51278,137.3515
andi1255,Andi,ani,Nakh-Daghestanian,Eurasia,42.8078,46.2919
andi1257,Andio,bzb,Austronesian,Papunesia,-0.88368,123.174
ando1254,Andoquero,,Huitotoan,South America,-0.666992,-72.310867
ando1255,Andoa,anb,Zaparoan,South America,-3.29664,-76.6056
ando1256,Andoque,ano,,South America,-0.53751,-72.0869
andr1246,Andro,,Sino-Tibetan,Eurasia,24.754303,94.033796
andr1248,Andra-Hus,anx,Austronesian,Papunesia,-2.05894,147.085
anei1239,Aneityum,aty,Austronesian,Papunesia,-20.1864,169.825
anem1248,Aneme Wake,aby,Yareban,Papunesia,-9.75911,148.479
anem1249,Anem,anz,,Papunesia,-5.54836,148.993
anfi1235,Anfillo,myo,Ta-Ne-Omotic,Africa,8.568,34.647
anga1288,Angami Naga,njm,Sino-Tibetan,Eurasia,25.6841,93.8668
anga1290,Angaataha,agm,Angan,Papunesia,-7.15012,146.352
anga1292,Angal Heneng,akh,Nuclear Trans New Guinea,Papunesia,-6.13347,143.478
anga1293,Angal,age,Nuclear Trans New Guinea,Papunesia,-6.0127,143.592
anga1294,Angal Enen,aoe,Nuclear Trans New Guinea,Papunesia,-6.23296,143.583
anga1315,Angami Naga Sign Language,,Sign Language,Eurasia,25.896367,93.719062
anga1316,Angaité,aqt,Lengua-Mascoy,South America,-22.85,-58.45
angg1238,Angkamuthi,avm,Pama-Nyungan,Australia,-11.443,142.242
angg1239,Angguruk Yali,yli,Nuclear Trans New Guinea,Papunesia,-4.0836,139.457
angi1238,Angika,anp,Indo-European,Eurasia,26.0047,85.534
angl1239,Archaic Angloromani,rme,Indo-European,Eurasia,51.75,-2.56
ango1254,Angor,agg,Senagi,Papunesia,-3.7167,141.199
ango1255,Angoram,aog,Lower Sepik,Papunesia,-4.07758,144.028
ango1257,Angosturas Tunebo,tnd,Chibchan,South America,6.54198,-71.9212
ango1258,Angolar,aoa,Indo-European,Africa,0.11438,6.59486
angu1242,Anguthimri,awg,Pama-Nyungan,Australia,-12.395,141.755
anii1245,Anii,blo,Atlantic-Congo,Africa,9.11127,1.60169
anii1246,//Ani,hnh,Khoe-Kwadi,Africa,-19.0966,22.9088
anim1239,Animere,anf,Atlantic-Congo,Africa,7.60385,0.41962
anin1240,Anindilyakwa,aoi,Gunwinyguan,Australia,-13.99904,136.6415
anin1242,Aninka,aqk,Atlantic-Congo,Africa,9.08,8.51
anip1235,Ani Phowa,ypn,Sino-Tibetan,Eurasia,23.7,103.6
anja1238,Anjam,boj,Nuclear Trans New Guinea,Papunesia,-5.45899,145.717
anka1246,Ankave,aak,Angan,Papunesia,-7.19444,145.754
anma1239,Anmatyerre,amx,Pama-Nyungan,Australia,-22.2853,133.286
anor1241,Anor,anj,Ramu,Papunesia,-4.98449,144.801
anse1238,Anserma,ans,Chocoan,South America,6.24999,-76.05
ansu1237,Ansus,and,Austronesian,Papunesia,-1.7543,135.866
anta1253,Antakarinya,ant,Pama-Nyungan,Australia,-27.1152,134.838
anta1255,Antankarana Malagasy,xmv,Austronesian,Africa,-13.2164,49.2402
anti1242,Antioquian,,Chibchan,South America,7.199341,-75.342236
anti1245,Antigua and Barbuda Creole English,aig,Indo-European,North America,17.068263,-61.821863
anua1242,Anuak,anu,Nilotic,Africa,7.57714,34.0267
anuf1239,Anufo,cko,Atlantic-Congo,Africa,10.2839,0.56021
anuk1239,Anuki,aui,Austronesian,Papunesia,-9.6692,149.822
anus1237,Korur,auq,Austronesian,Papunesia,-2.26271,139.502
anut1237,Anuta,aud,Austronesian,Papunesia,-11.61,169.85
anuu1241,Anu-Hkongso,anl,Sino-Tibetan,Eurasia,21.5,93.05
anyi1244,Anyin Morofo,mtb,Atlantic-Congo,Africa,6.1627,-4.64232
anyi1245,Anyin,any,Atlantic-Congo,Africa,6.31781,-3.30532
aohe1237,Aoheng-Seputan,pni,Austronesian,Papunesia,0.87404,114.127
aona1235,Ao Naga,njo,Sino-Tibetan,Eurasia,26.3241,94.3824
aore1237,Aore,aor,Austronesian,Papunesia,-15.5753,167.166
aoua1234,A'ou,aou,Tai-Kadai,Eurasia,26.8,105.85
apal1237,Apalachee,xap,Muskogean,North America,30.118,-84.416
apal1255,Apalik,apo,Austronesian,Papunesia,-6.29002,149.96
apal1256,Apali,ena,Nuclear Trans New Guinea,Papunesia,-5.1727,145.023
apal1257,Apalaí,apy,Cariban,South America,1.49792,-54.7457
apas1235,Apasco-Apoala Mixtec,mip,Otomanguean,North America,17.6143,-97.0657
apat1240,Apatani,apt,Sino-Tibetan,Eurasia,27.1933,93.7284
apia1247,Apiaka-Tocantins,,Cariban,South America,-6.5,-49.771729
apia1248,Apiaká,api,Tupian,South America,-7.84711,-57.91
apin1244,Apinayé,apn,Nuclear-Macro-Je,South America,-6.10774,-47.6315
apma1240,Apma,app,Austronesian,Papunesia,-15.8559,168.189
apma1241,Ap Ma,kbx,Keram,Papunesia,-4.35147,144.085
apol1242,Apolista,,Arawakan,South America,-14.83,-68.66
apot1235,Apoto,,Unattested,South America,,
apro1235,Aproumu Aizi,ahp,Atlantic-Congo,Africa,5.20273,-4.52192
apuc1241,Apucikwar,apq,Great Andamanese,Eurasia,12.241,92.7965
apul1236,Apulian-Calabrian Greek,,Indo-European,Eurasia,40.35,18.166667
apur1254,Apurinã,apu,Arawakan,South America,-8.21692,-66.7714
aput1237,Aputai,apx,Austronesian,Papunesia,-7.84732,126.496
arab1267,Arabana,ard,Pama-Nyungan,Australia,-28.705,135.449
arab1268,Arabela,arl,Zaparoan,South America,-1.96126,-75.0612
arab1399,Arab El-Naim Sign Language,,Sign Language,Eurasia,32.8875,35.29
arac1235,Aracaju,,Unclassifiable,South America,,
araf1245,Arafundi-Enga Pidgin,,Pidgin,Papunesia,-5.101836,143.298006
arag1245,Aragonese,arg,Indo-European,Eurasia,42.4669,-0.00919
arai1239,Araicu,,Arawakan,South America,-3.104315,-67.2052
arak1252,Araki,akr,Austronesian,Papunesia,-15.632997,166.952542
arak1254,Arakwal,rkw,Bookkeeping,Australia,,
arak1256,Arakanese,mhv,Bookkeeping,,,
aral1243,Aralle-Tabulahan,atq,Austronesian,Papunesia,-2.78397,119.319
aram1252,Aramanik,aam,Bookkeeping,Africa,-2.90656,37.3491
aram1253,Arammba,stk,Yam,Papunesia,-8.29593,141.445
aram1260,Arame-Gubaare,,Atlantic-Congo,Africa,12.299274,-16.373202
aran1237,Dombano,jbj,South Bird's Head,Papunesia,-2.08016,132.983
aran1261,Aranadan,aaf,Dravidian,Eurasia,11.35252,75.79538
aran1265,Aranama,xrt,Unclassifiable,North America,28.65425,-97.38526
arao1248,Araona,aro,Pano-Tacanan,South America,-12.4242,-67.7293
arap1274,Arapaho,arp,Algic,North America,43.3879,-108.81
arap1275,Arapaso,arj,Tucanoan,South America,0.13727,-67.7282
araw1272,Arawum,awm,Nuclear Trans New Guinea,Papunesia,-5.52787,145.903
araw1273,Araweté,awt,Tupian,South America,-4.90246,-52.5001
araw1276,Lokono,arw,Arawakan,South America,5.64295,-56.9243
araz1236,Arazaire,,Pano-Tacanan,South America,-13.25,-70.8
